"dota"
{
        "addon_game_name" "Survival Defense"
        "item_survival_challenge_reward" "Challenge Reward"
        "item_survival_challenge_reward_Description" "Pick up this challenge material to place it in the equipment bar. It is consumed only when the corresponding equipment recipe succeeds."
        "DOTA_Tooltip_ability_item_survival_challenge_reward" "Challenge Reward"
        "DOTA_Tooltip_ability_item_survival_challenge_reward_Description" "Pick up this challenge material to place it in the equipment bar. It is consumed only when the corresponding equipment recipe succeeds."
        "DOTA_Tooltip_Ability_item_survival_challenge_reward" "Challenge Reward"
        "DOTA_Tooltip_Ability_item_survival_challenge_reward_Description" "Stored in the equipment bar after pickup. A matching recipe synthesizes automatically, and the material is consumed only after synthesis succeeds."
        "DOTA_Tooltip_ability_item_survival_attack_gloves_shell" "Attack Gloves"
        "DOTA_Tooltip_ability_item_survival_attack_gloves_shell_Description" "Attack-speed equipment. Lv1/Lv2/Lv3/Lv4/Lvmax grant +20%/+40%/+60%/+80%/+100% attack speed. Buy again to upgrade. At max level, combine with Burning Blade Lvmax, Iron Armor Lvmax and a Synthesis Gem to create Infernal Armor Lv1."
        "DOTA_Tooltip_ability_item_survival_burning_blade_shell" "Burning Blade"
        "DOTA_Tooltip_ability_item_survival_burning_blade_shell_Description" "Attack equipment. Lv1/Lv2/Lv3/Lv4/Lvmax grant +1000/+2000/+4000/+6000/+8000 attack damage. Buy again to upgrade. At max level, it is required to synthesize Infernal Armor Lv1."
        "DOTA_Tooltip_ability_item_survival_iron_armor_shell" "Iron Armor"
        "DOTA_Tooltip_ability_item_survival_iron_armor_shell_Description" "Defensive equipment. Lv1 through Lvmax grant 10/30/50/70/100 armor and 5000/10000/20000/30000/50000 health. Buy again to upgrade. At max level, it is required to synthesize Infernal Armor Lv1."
        "DOTA_Tooltip_ability_item_survival_infernal_armor_shell" "Infernal Armor"
        "DOTA_Tooltip_ability_item_survival_infernal_armor_shell_Description" "Synthesized armor granting attack damage, attack speed, health and armor. Every second it damages enemies within 200 range for 1x all attributes. Each stage combines the current armor with the corresponding Molten Core."
        "DOTA_Tooltip_ability_item_survival_death_mask" "Lifesteal Mask"
        "DOTA_Tooltip_ability_item_survival_death_mask_Description" "+50% damage lifesteal. Growth Sword Lvmax + Lifesteal Mask automatically synthesizes Frost Blade Lv1."
        "item_survival_synthesis_gem_shell" "Synthesis Gem"
        "item_survival_synthesis_gem_shell_Description" "Stored in the equipment bar after pickup. Attack Gloves max + Burning Blade max + Iron Armor max + Synthesis Gem = Infernal Armor Lv1. Consumed only after successful synthesis."
        "DOTA_Tooltip_ability_item_survival_synthesis_gem_shell" "Synthesis Gem"
        "DOTA_Tooltip_ability_item_survival_synthesis_gem_shell_Description" "Stored in the equipment bar after pickup. Attack Gloves max + Burning Blade max + Iron Armor max + Synthesis Gem = Infernal Armor Lv1. Consumed only after successful synthesis."
        "DOTA_Tooltip_Ability_item_survival_synthesis_gem_shell" "Synthesis Gem"
        "DOTA_Tooltip_Ability_item_survival_synthesis_gem_shell_Description" "Stored in the equipment bar after pickup. Attack Gloves max + Burning Blade max + Iron Armor max + Synthesis Gem = Infernal Armor Lv1. Consumed only after successful synthesis."
        "item_survival_molten_core_01_shell" "Molten Core Lv1"
        "item_survival_molten_core_01_shell_Description" "Three Molten Core Lv1 items automatically synthesize Molten Core Lv2."
        "DOTA_Tooltip_ability_item_survival_molten_core_01_shell" "Molten Core Lv1"
        "DOTA_Tooltip_ability_item_survival_molten_core_01_shell_Description" "Three Molten Core Lv1 items automatically synthesize Molten Core Lv2."
        "DOTA_Tooltip_Ability_item_survival_molten_core_01_shell" "Molten Core Lv1"
        "DOTA_Tooltip_Ability_item_survival_molten_core_01_shell_Description" "Three Molten Core Lv1 items automatically synthesize Molten Core Lv2."
        "item_survival_molten_core_02_shell" "Molten Core Lv2"
        "item_survival_molten_core_02_shell_Description" "Three Molten Core Lv2 items automatically synthesize Molten Core Lv3."
        "DOTA_Tooltip_ability_item_survival_molten_core_02_shell" "Molten Core Lv2"
        "DOTA_Tooltip_ability_item_survival_molten_core_02_shell_Description" "Three Molten Core Lv2 items automatically synthesize Molten Core Lv3."
        "DOTA_Tooltip_Ability_item_survival_molten_core_02_shell" "Molten Core Lv2"
        "DOTA_Tooltip_Ability_item_survival_molten_core_02_shell_Description" "Three Molten Core Lv2 items automatically synthesize Molten Core Lv3."
        "item_survival_molten_core_03_shell" "Molten Core Lv3"
        "item_survival_molten_core_03_shell_Description" "Used to upgrade Infernal Armor to later stages. Consumed only after successful synthesis."
        "DOTA_Tooltip_ability_item_survival_molten_core_03_shell" "Molten Core Lv3"
        "DOTA_Tooltip_ability_item_survival_molten_core_03_shell_Description" "Used to upgrade Infernal Armor to later stages. Consumed only after successful synthesis."
        "DOTA_Tooltip_Ability_item_survival_molten_core_03_shell" "Molten Core Lv3"
        "DOTA_Tooltip_Ability_item_survival_molten_core_03_shell_Description" "Used to upgrade Infernal Armor to later stages. Consumed only after successful synthesis."
        "item_survival_molten_core_04_shell" "Molten Core Lv4"
        "item_survival_molten_core_04_shell_Description" "Infernal Armor Lv4 + Molten Core Lv4 automatically synthesizes Infernal Armor Lvmax. Consumed only after successful synthesis."
        "DOTA_Tooltip_ability_item_survival_molten_core_04_shell" "Molten Core Lv4"
        "DOTA_Tooltip_ability_item_survival_molten_core_04_shell_Description" "Infernal Armor Lv4 + Molten Core Lv4 automatically synthesizes Infernal Armor Lvmax. Consumed only after successful synthesis."
        "DOTA_Tooltip_Ability_item_survival_molten_core_04_shell" "Molten Core Lv4"
        "DOTA_Tooltip_Ability_item_survival_molten_core_04_shell_Description" "Infernal Armor Lv4 + Molten Core Lv4 automatically synthesizes Infernal Armor Lvmax. Consumed only after successful synthesis."
        "item_survival_ice_soul_ember_shell" "Ice Soul Ember"
        "item_survival_ice_soul_ember_shell_Description" "Ice Blade max + Infernal Armor max + Ice Soul Ember = Epic: Icefire Judgment. Consumed only after successful synthesis."
        "DOTA_Tooltip_ability_item_survival_ice_soul_ember_shell" "Ice Soul Ember"
        "DOTA_Tooltip_ability_item_survival_ice_soul_ember_shell_Description" "Ice Blade max + Infernal Armor max + Ice Soul Ember = Epic: Icefire Judgment. Consumed only after successful synthesis."
        "DOTA_Tooltip_Ability_item_survival_ice_soul_ember_shell" "Ice Soul Ember"
        "DOTA_Tooltip_Ability_item_survival_ice_soul_ember_shell_Description" "Ice Blade max + Infernal Armor max + Ice Soul Ember = Epic: Icefire Judgment. Consumed only after successful synthesis."
        "DOTA_Tooltip_ability_item_survival_wrath_essence" "Wrath Essence"
        "DOTA_Tooltip_ability_item_survival_wrath_essence_Description" "Use to upgrade Icefire Judgment +1 and gain 5% final damage."
        "DOTA_Tooltip_ability_item_survival_gluttony_essence" "Gluttony Essence"
        "DOTA_Tooltip_ability_item_survival_gluttony_essence_Description" "Use to upgrade Icefire Judgment +1 and reduce attack interval by 0.05 seconds."
        "DOTA_Tooltip_ability_item_survival_sloth_essence" "Sloth Essence"
        "DOTA_Tooltip_ability_item_survival_sloth_essence_Description" "Use to upgrade Icefire Judgment +1 and gain 5 all attributes per kill."
        "DOTA_Tooltip_ability_item_survival_envy_essence" "Envy Essence"
        "DOTA_Tooltip_ability_item_survival_envy_essence_Description" "Use to upgrade Icefire Judgment +1 and gain 5% all attributes."
        "DOTA_Tooltip_ability_item_survival_pride_essence" "Pride Essence"
        "DOTA_Tooltip_ability_item_survival_pride_essence_Description" "Use to upgrade Icefire Judgment +1 and gain 20% attack damage."
        "DOTA_Tooltip_ability_item_survival_greed_essence" "Greed Essence"
        "DOTA_Tooltip_ability_item_survival_greed_essence_Description" "Use to upgrade Icefire Judgment +1 and gain 3 all attributes per attack."
        "DOTA_Tooltip_ability_item_survival_lust_essence" "Lust Essence"
        "DOTA_Tooltip_ability_item_survival_lust_essence_Description" "Use to upgrade Icefire Judgment +1 and reduce armor by 3 per attack."
        "DOTA_Tooltip_ability_ability_survival_return_home" "Return Home"
        "DOTA_Tooltip_ability_ability_survival_return_home_Description" "Immediately returns to a safe position near your main city."
        "DOTA_Tooltip_ability_ability_survival_pickup_materials" "Collect Upgrade Materials"
        "DOTA_Tooltip_ability_ability_survival_pickup_materials_Description" "Collect all visible upgrade materials you own within 300 range. Matching materials synthesize immediately; unmatched materials remain on the ground and never occupy inventory slots."
        "DOTA_Tooltip_ability_ability_build_wall" "Build Wall"
        "DOTA_Tooltip_ability_ability_build_main_city" "Build Main City"
        "DOTA_Tooltip_ability_ability_build_arrow_tower" "Build Defense Tower"
        "DOTA_Tooltip_ability_ability_upgrade_wall" "Upgrade Wall"
        "DOTA_Tooltip_ability_ability_upgrade_city" "Upgrade Main City"
        "DOTA_Tooltip_ability_ability_train_lumberjack" "Train Lumberjack"
        "DOTA_Tooltip_ability_ability_train_repairer" "Train Repairer"
        "DOTA_Tooltip_ability_ability_train_repairer_Description" "Trains a worker that automatically repairs damaged walls."
        "DOTA_Tooltip_ability_ability_build_farm" "Build Population Farm"
        "DOTA_Tooltip_ability_ability_build_farm_Description" "Unlocked after the main city is completed."
        "DOTA_Tooltip_ability_ability_upgrade_farm" "Upgrade Farm"
        "DOTA_Tooltip_ability_ability_upgrade_farm_Description" "Available while the farm level is below the main city level. Maximum level 5."
        "DOTA_Tooltip_ability_ability_train_population" "Train Population"
        "DOTA_Tooltip_ability_ability_train_population_Description" "Spend resources based on the farm level to increase population capacity."
        "DOTA_Tooltip_ability_ability_upgrade_tower" "Upgrade Defense Tower"
        "DOTA_Tooltip_ability_ability_tower_class_1" "Class One"
        "DOTA_Tooltip_ability_ability_tower_class_2" "Class Two"
        "DOTA_Tooltip_ability_ability_tower_class_3" "Class Three"
        "DOTA_Tooltip_ability_ability_tower_class_4" "Class Four"
        "DOTA_Tooltip_ability_ability_tower_class_5" "Class Five"
        "DOTA_Tooltip_ability_ability_build_hero_altar" "Build Hero Altar"
        "DOTA_Tooltip_ability_ability_summon_axe" "Summon Axe"
        "DOTA_Tooltip_ability_ability_summon_axe_Description" "Summon Axe with basic attacks only."
        "DOTA_Tooltip_ability_ability_summon_slark" "Summon Slark"
        "DOTA_Tooltip_ability_ability_summon_slark_Description" "Summon Slark with basic attacks only."
        "DOTA_Tooltip_ability_ability_summon_juggernaut" "Summon Juggernaut"
        "DOTA_Tooltip_ability_ability_summon_juggernaut_Description" "Summon Juggernaut with basic attacks only."
        "DOTA_Tooltip_ability_ability_summon_monkey_king" "Summon Monkey King (VIP)"
        "DOTA_Tooltip_ability_ability_summon_monkey_king_Description" "VIP required. Uses Sven as a temporary carrier and starts with four project skills."
        "DOTA_Tooltip_ability_ability_summon_blademaster" "Summon Blademaster (VIP)"
        "DOTA_Tooltip_ability_ability_summon_blademaster_Description" "VIP required. Uses Sven as a temporary carrier and starts with four project skills."
        "DOTA_Tooltip_ability_item_survival_growth_sword_01" "weapon_growth_sword_01"
        "DOTA_Tooltip_ability_item_survival_small_polar_crystal" "Small Polar Crystal"
        "DOTA_Tooltip_ability_item_survival_small_polar_crystal_Description" "+1000 all attributes. Upgrades after 200 Ice Wraith kills."
        "DOTA_Tooltip_ability_item_survival_large_polar_crystal" "Large Polar Crystal"
        "DOTA_Tooltip_ability_item_survival_large_polar_crystal_Description" "+2000 all attributes."
        "DOTA_Tooltip_ability_item_survival_growth_sword_01_Description" "英雄每次攻击增加1点攻击力  攻击200次使该武器进化    成长之剑Lvmax＋吸血面罩 自动合成幻影之剑"
        "DOTA_Tooltip_ability_item_survival_growth_sword_02" "weapon_growth_sword_02"
        "DOTA_Tooltip_ability_item_survival_growth_sword_02_Description" "英雄每次攻击增加2点攻击力  攻击200次使该武器进化"
        "DOTA_Tooltip_ability_item_survival_growth_sword_03" "weapon_growth_sword_03"
        "DOTA_Tooltip_ability_item_survival_growth_sword_03_Description" "英雄每次攻击增加3点攻击力  攻击200次使该武器进化"
        "DOTA_Tooltip_ability_item_survival_growth_sword_04" "weapon_growth_sword_04"
        "DOTA_Tooltip_ability_item_survival_growth_sword_04_Description" "英雄每次攻击增加4点攻击力  攻击200次使该武器进化"
        "DOTA_Tooltip_ability_item_survival_growth_sword_max" "weapon_growth_sword_max"
        "DOTA_Tooltip_ability_item_survival_growth_sword_max_Description" "英雄每次攻击增加5点攻击力  ＋吸血面罩 自动合成霜之剑刃"
        "DOTA_Tooltip_ability_item_survival_frost_blade_01" "weapon_frost_blade_01"
